Software: ,GCTS CATS Advanced (WIN-CATS-ADV) [G2],Version: ,3.04,,,,,
Project: ,BMD-MORSHED,,,,,,,
Sample: ,DIC_TRIAL_S3_071626,,,,,,,
Test: ,Dynamic Modulus,,,,,,,
Specimen: ,S33BP_50,,,,,,,
Number: ,001,,,,,,,
Description: ,_,,,,,,,
Container ID: ,_,,,,,,,
Tested By: ,_MORSHED,,,,,,,
Average Diameter: ,150,(mm),,,,,,
Average Height (H): ,62.335,(mm),,,,,,
Axial Gauge Length (GL): ,101.6,(mm),,,,,,
Temperature: ,-10,(deg C),,,,,,
Confining Pressure: ,0,(kPa),,,,,,
AC Binder: ,Other,,,,,,,
,A: ,0,,,,,,
,VTS: ,0,,,,,,
,|Gb*|: ,0,(MPa),,,,,
,Phase Angle: ,0,(deg),,,,,
Starting Date: , 7/20/26,,,,,,,
Starting Time: ,10:06:49,,,,,,,
Pump: ,High Pressure,,,,,,,
Test Results: ,Stopped by User,,,,,,,
,Type: ,Universal,,,,,,
,,Duration: ,22.3,(sec),,,,
,,,,Max,Min,Range,Initial,End
2.5,17.97,2.034,2216,455.998,,,,
2.525,17.898,2.054,2208,454.621,,,,
2.55,18.003,2.076,2221,455.602,,,,
2.575,17.933,2.094,2212,453.792,,,,
2.6,18.029,2.117,2224,454.104,,,,
2.625,17.927,2.136,2211,453.083,,,,
2.65,18.056,2.158,2227,453.396,,,,
2.675,18,2.179,2220,450.528,,,,
2.7,18.059,2.2,2228,451.766,,,,
2.725,17.986,2.219,2218,451.544,,,,
2.75,18.095,2.243,2232,449.404,,,,
2.775,17.998,2.261,2220,452.446,,,,
2.8,18.072,2.284,2229,450.018,,,,
2.825,18.009,2.303,2221,450.832,,,,
2.85,18.078,2.326,2230,448.725,,,,
2.875,17.981,2.344,2218,449.695,,,,
2.9,18.084,2.367,2231,449.825,,,,
2.925,17.984,2.386,2218,448.52,,,,
2.95,18.065,2.409,2228,448.487,,,,
2.975,17.988,2.428,2219,448.371,,,,
3,18.057,2.45,2227,447.842,,,,
3.025,17.968,2.469,2216,448.787,,,,
3.05,18.052,2.492,2227,448.346,,,,
3.075,17.938,2.511,2213,449.528,,,,
3.1,18.03,2.534,2224,448.342,,,,
3.125,17.899,2.553,2208,448.474,,,,
3.15,17.975,2.575,2217,448.715,,,,
3.175,17.872,2.594,2204,449.646,,,,
3.2,17.949,2.618,2214,446.959,,,,
3.225,17.821,2.637,2198,448.621,,,,
3.25,17.896,2.659,2207,447.43,,,,
3.275,17.775,2.678,2192,447.679,,,,
3.299,17.826,2.701,2199,448.362,,,,
3.324,17.726,2.72,2186,448.79,,,,
3.349,17.826,2.743,2199,446.311,,,,
3.374,17.676,2.762,2180,450.951,,,,
3.399,17.72,2.784,2186,448.124,,,,
3.424,17.641,2.804,2176,450.161,,,,
3.449,17.697,2.825,2183,449.577,,,,
3.474,17.605,2.845,2171,448.966,,,,
3.499,17.645,2.867,2176,450.107,,,,
3.524,17.542,2.887,2164,452.169,,,,
3.549,17.561,2.908,2166,452.746,,,,
3.574,17.481,2.929,2156,452.583,,,,
3.599,17.518,2.95,2161,452.124,,,,
3.624,17.405,2.97,2147,454.576,,,,
3.649,17.449,2.992,2152,452.823,,,,
3.674,17.368,3.012,2142,454.09,,,,
3.699,17.406,3.034,2147,454.417,,,,
3.724,17.301,3.053,2134,455.007,,,,
3.749,17.35,3.075,2140,453.933,,,,
3.774,17.279,3.096,2131,455.416,,,,
3.799,17.274,3.117,2131,455.849,,,,
3.824,17.205,3.136,2122,457.251,,,,
3.849,17.257,3.159,2129,457.854,,,,
3.874,17.153,3.178,2116,456.797,,,,
3.899,17.193,3.201,2121,458.646,,,,
